Прайс-лист для Участников Компании АРГО						
Действителен на момент публикации 02.10.2014. Не является офертой (ст. 437 ГК РФ)						
Код	Наименование	Цена* за единицу, руб.	Баллы	Блок, едениц		Для расчета цен с учетом транспортного коэффициента введите в ячейку расположенную под этой надписью свой транспортный коэффициент в процентах.
0910	Лосьон-тоник для сухой кожи, 200 мл	336	18	8		
0909	Лосьон-тоник успокаивающий безалкогольный, 100 мл	279	15	4		
0911	Маска-пилинг, 75 мл	278	15	10		
2950	Масло длительной гидратации с церамидами, 15 мл	310	17	1		
0912	Масло для век и губ длительной гидратации, 10 мл	220	12	10		
2937	Мультикрем-комплекс с эластоколлагеном, 30 мл	453	25	1		
0915	Пенка для умывания с фрутапоном грейпфрута, 200 мл	369	20	8		
2938	Сыворотка омолаживающая с протеинами шелка, 30 мл	735	40	1		
	Инферум					
4001	Комплекс аппаратно-программный ROFES	10575	300	1		
	ЛучикС-Фарм					
3614	Крем для кожи вокруг глаз «Акулье масло» с кофеином, 50 мл	237	15	1		
3612	Крем для лица «Акулье масло» с маслом карите, 50 мл	237	15	1		
3613	Крем для лица, шеи, зоны декольте «Акулье масло» с витаминами B6, E и C, 50 мл	237	15	1		
3611	Крем для ног «Акулье масло» с листьями красного винограда, 75 мл	232	15	1		
3605	Крем для ног «Акулье масло» с экстрактом босвеллии, 75 мл	229	15	1		
3607	Крем для ног «Акулье масло» с экстрактом окопника, 75 мл	229	15	1		
3606	Крем для суставов «Акулье масло» с глюкозамином и хондроитином, 75 мл	229	15	1		
3609	Крем для тела «Акулье масло» с берёзовым дёгтем, 75 мл	232	15	1		
3610	Крем для тела «Акулье масло» с чагой и муравьиной кислотой, 75 мл	232	15	1		
3615	Маска для кожи вокруг глаз «Акулье масло» с жемчужной пудрой, 10 мл Х 3 саше	237	15	1		
3608	Маска для кожи вокруг глаз «Акулье масло» с экстрактом петрушки, 10 мл х 3 саше	229	15	1		
3616	Маска для лица «Акулье масло» с коэнзимом Q10, 10 мл Х 3 саше	237	15	1		
3602	Маска для лица «Акулье масло» с маслом авокадо, 10 мл х 3 саше	229	15	1		
3603	Маска для лица «Акулье масло» с экстрактом банана, 10 мл х 3 саше	229	15	1		
3604	Маска для лица «Акулье масло» с экстрактом винограда, 10 мл х 3 саше	229	15	1		
3617	Маска для лица, шеи, зоны декольте «Акулье масло» с пептидами, 10 мл Х 3 саше	237	15	1		
3601	Экспресс-маска для лица «Акулье масло» с эфирными маслами мяты и апельсина, 10 мл х 3 саше	229	15	1		
	Ляпко					
1719	Массажер «Фараон-М» 	133	7	10		
1724	УАЛП «Волшебная лента Здоровье» (3 сегмента, шаг игл 4,3 мм, длина 135 см)	1943	95	1		
1725	УАЛП «Волшебная лента Здоровье» (7 сегментов, шаг игл 4,3 мм, длина 315 см)	4065	200	1		
1703	УАЛП «Двойной» (шаг игл 5,8 мм; размер 105 х 460 мм)	1217	60	5		
1707	УАЛП «Двойной» (шаг игл 6,2 мм; размер 105 х 460 мм)	1093	54	5		
1726	УАЛП «Коврик малый» (шаг игл 6,0 мм; размер 237 х 137 мм)	719	35	10		
1709	УАЛП «Коврик» (шаг игл 6,8 мм; размер 248 х 462 мм)	2264	110	5		
1701	УАЛП «Малыш» (шаг игл 3,5 мм; размер 38 х 85 мм)	107	5	20		
1705	УАЛП «Одинарный» (шаг игл 5,8 мм; размер 105 х 230 мм)	614	30	10		
1710	УАЛП «Одинарный» (шаг игл 6,2 мм; размер 105 х 230 мм)	550	27	10		
1718	УАЛП «Пояс Спутник» (шаг игл 4,3 мм)	1750	85	8		
1727	УАЛП «Пояс Универсальный» (шаг игл 4,3 мм; 3-сегмента)	1121	55	20		
1702	УАЛП «Ромашка» (шаг игл 5,0 мм; D = 314 мм)	1940	95	5		
1706	УАЛП «Спутник» (шаг игл 5,8 мм; размер 52 х 180 мм)	271	14	10		
1711	УАЛП «Спутник» (шаг игл 6,2 мм; размер 60 х 180 мм)	276	14	10		
1722	УАЛП «Стелька-скороход», размер 37-40, 2 шт	1115	55	5		
1721	УАЛП «Стелька-скороход», размер 40-43, 2 шт	1238	60	5		
1723	УАЛП «Стелька-скороход», размер 43-46, 2 шт	1434	70	5		
1714	УАЛЦ «Валик Большой» (шаг игл 5,0 мм; D = 61 мм; ш = 111 мм)	879	43	17		
1712	УАЛЦ «Валик Лицевой» (шаг игл 3,5 мм; D = 51 мм; ш = 40 мм)	525	26	55		
1713	УАЛЦ «Валик Универсальный» (шаг игл 3,5 мм; D = 51 мм; ш = 72 мм)	778	38	30		
	Марианна					
1113	Эмульсия «Рициниол Базовый», 15 мл	135	8	6		
1104	Эмульсия «Рициниол Базовый», 30 мл	231	14	8		
1153	Эмульсия «Рициниол Базовый», 35 мл	250	16	4		
1144	Эмульсия «Рициниол Базовый», 60 мл	348	21	3		
1157	Эмульсия «Рициниол Витаминный», 20 мл	220	14	8		
1115	Эмульсия «Рициниол Интим», 15 мл	164	10	6		
1140	Эмульсия «Рициниол Камертон», 10 мл	112	7	6		
1107	Эмульсия «Рициниол Кутикула», 10 мл	110	7	8		
1139	Эмульсия «Рициниол Лавандовый», 10 мл	106	7	6		
1141	Эмульсия «Рициниол Молодость», 10 мл	106	7	6		
1156	Эмульсия «Рициниол Ногти», 10 мл	111	7	8		
1150	Эмульсия «Рициниол Очищающий», 35 мл	186	11	8		
1155	Эмульсия «Рициниол Пшеничный», 20 мл	220	14	8		
1118	Эмульсия «Рициниол Укропный», 15 мл	135	8	6		
1112	Эмульсия «Рициниол Шалфейный», 15 мл	139	8	6		
1102	Эмульсия «Рициниол Шалфейный», 30 мл	263	16	8		
1154	Эмульсия «Рициниол Шалфейный», 35 мл	295	19	4		
1145	Эмульсия «Рициниол Шалфейный», 60 мл	421	25	3		
1143	Эмульсия «Рициниол Ясный взор», 10 мл	112	7	8		
1146	Эмульсия «Рициниол-К+ Рициниол-Н», двойной флакон, 4+8 мл	169	11	8		
1152	Эмульсия гигиеническая «Малышок», 15 мл	135	8	6		
	НИИ ЛОП и НТ					
0228	Батончик «Успех-2 Five o'clock», 45 г	31	1	12		
0210	Коктейль «Грация», 380 г	705	40	12		
0211	Коктейль «Энергия», 380 г	705	40	12		
0246	Коктейль ПРЕМИУМ «Овощной», 380 г	830	50	12		
0247	Коктейль ПРЕМИУМ «Шоколадный», 380 г	830	50	12		
0248	Коктейль ПРЕМИУМ «Яблочный», 380 г	830	50	12		
0213	Напиток чайный «Оздоровительный», пакетики с сухой смесью, 60 г	118	6	30		
0214	Напиток чайный «Тонизирующий», пакетики с сухой смесью, 60 г	118	6	30		
0215	Напиток чайный «Успокоительный», пакетики с сухой смесью, 60 г	118	6	30		
0204	Нутрикон Плюс, гранулы, 350 г	339	20	8		
0242	Нутрикон Плюс, хрустящие гранулы, 350 г	349	21	8		
0205	Нутрикон Селен, гранулы, 350 г	339	20	8		
0243	Нутрикон Селен, хрустящие гранулы, 350 г	349	21	8		
0206	Нутрикон Фито, гранулы, 350 г	339	20	8		
0244	Нутрикон Фито, хрустящие гранулы, 350 г	349	21	8		
0207	Нутрикон Хром, гранулы, 350 г	339	20	8		
0240	Нутрикон Хром, хрустящие гранулы, 350 г	317	19	8		
0208	Нутрикон Янтарь, гранулы, 350 г	317	19	8		
0239	Нутрикон Янтарь, мелкогранулированный, 350 г	317	19	8		
0245	Нутрикон Янтарь, хрустящие гранулы, 350 г	317	19	8		
0201	Нутрикон, гранулы, 350 г	317	19	8		
0236	Нутрикон, хрустящие гранулы, 350 г	317	19	8		
0249	Пектолакт бифидо, пакетики с сухой смесью, 50 г	284	17	30		
0233	Сироп «Сбитень №10 Ликерный», 250 г/180 мл	339	20	4		
0221	Сироп «Сбитень №12 Изумрудный», 250 г/180 мл	286	17	4		
0227	Сироп «Сбитень №21 Винный», 250 г/180 мл	286	17	4		
0222	Сироп «Сбитень №24 Молочный», 250 г/180 мл	286	17	4		
0219	Сироп «Сбитень №3 Пурпурный», 250 г/180 мл	286	17	4		
0220	Сироп «Сбитень №7 Багряный», 250 г/180 мл	286	17	4		
0251	СПА-масло косметическое «l'amour sucre», 125 мл	552	30	4		
0252	СПА-скраб «l'amour sucre», 300 мл	552	30	3		
	Новь					
	Здоровое питание					
0121	Десерт-кисель «Клюквенный», 200 г	152	9	9		
0117	Десерт-кисель «Молочно-фруктовый», 200 г	145	9	9		
0127	Десерт-кисель «Свекольно-вишневый», 200 г	145	9	9		
0118	Десерт-кисель «Смородиновый», 200 г	169	10	9		
0120	Десерт-кисель «Яблочный», 200 г	145	9	9		
0129	ДиЛитовит для женщин, 210 г	776	48	7		
0133	Концентрат безалкогольного напитка «Витаминное ассорти», 100 мл	162	10	8		
0134	Концентрат безалкогольного напитка «Сабельник», 100 мл	162	10	8		
0110	Литовит, гранулы, 150 г	118	7	10		
0111	Литовит, порошок, 150 г	118	7	10		
0112	Литовит, таблетки, 140 г	228	14	20		
0101	Литовит-Б, таблетки, 140 г	312	19	20		
0102	Литовит-К , таблетки, 140 г	312	19	20		
0126	Литовит-М, гранулы, 100 г (в пакетиках)	228	14	10		
0103	Литовит-М, порошок, 150 г	328	20	20		
0104	Литовит-М, порошок, 30 г	74	4	20		
0113	Литовит-напиток растворимый «Брусника», порошок, 100 г	118	7	10		
0114	Литовит-напиток растворимый «Горький коктейль», порошок, 100 г	111	7	10		
0105	Литовит-О, таблетки, 140 г	278	17	20		
0106	Литовит-С, гранулы, 100 г	689	42	5		
0107	Литовит-У, таблетки, 140 г	512	31	20		
0108	Литовит-Ф, таблетки, 140 г	245	15	10		
0109	Литовит-Ч, таблетки, 140 г	345	21	20		
0130	Литоспорт набор, таблетки, 2*50 г	412	25	5		
0132	Нормолит, гранулы, 450 г	526	32	3		
0125	Оптисорб лимонный, гранулы, 100 г (в пакетиках)	225	14	5		
0123	Оптисорб, гранулы, 100 г (в пакетиках)	221	14	5		
	Здоровье и быт					
0191	Дезодорант-осушитель, 300 г	156	10	40		
0192	Диск эбонитовый, 120 г	1336	80	5		
0194	Концентрат минеральный кормовой «Цеолит природный», 1000 г	156	9	12		
0197	Сорбент-очиститель универсальный для холодильников	168	10	10		
0198	Сорбент-очиститель универсальный для чайников	489	30	10		
0199	Устройство стирающее ультразвуковое  «Факт»	1688	105	1		
	Наружные средства					
0185	Ассорти «Маски», 90 г (6 пакетиков по 15 г в наборе)	145	8	10		
0186	Ассорти «Скрабы», 105 г (7 пакетиков по 15 г в наборе)	168	9	10		
0142	Гель-скраб «Кия» с экстрактом алоэ, 200 г	295	18	5		
0144	Гель-скраб «Кия» с экстрактом ромашки, 200 г	295	18	5		
0146	Гель-скраб «Кия» с экстрактом череды, 200 г	295	18	5		
0182	Крем-маска «Княжна», 130 г	185	11	9		
0140	Маска альгинатная омолаживающая «Красный клевер», 48 г	415	25	8		
0138	Маска альгинатная противовоспалительная «Мумие», 48 г	415	25	8		
0139	Маска альгинатная увлажняющая «Морские водоросли», 48 г	415	25	8		
0145	Маска для жирных волос «Мятный пудинг», 15 г	25	1	5		
0148	Маска для жирных волос «Мятный пудинг», 200 г	293	18	5		
0143	Маска для сухих и нормальных волос «Шоколадный пудинг», 15 г	25	1	5		
0141	Маска для сухих и нормальных волос «Шоколадный пудинг», 200 г	293	18	5		
0149	Маска косметическая «Клеопатра», 200 г	234	14	5		
0151	Маска косметическая «Минеральная», 200 г	234	14	5		
0188	Маска косметическая «Царица», 150 г (10 пакетиков по 15 г)	200	12	10		
0150	Маска против выпадения волос «Медовый пудинг», 15 г	25	1	5		
0147	Маска против выпадения волос «Медовый пудинг», 200 г	293	18	5		
0179	Маска-лифтинг «Чаровница», 160 г	201	12	9		
0154	Масло косметическое «Кия», 30 мл	301	18	10		
0159	Пудра-сорбент «Кия», 20 г	168	10	20		
0175	Скраб «Кия» «Ванильная карамель», 200 г	295	18	5		
0176	Скраб «Кия» «Лимон», 200 г	295	18	5		
0184	Скраб «Нежный» «Пудровая нежность», 130 г	185	11	9		
0183	Скраб «Нежный», 130 г	185	11	9		
	Нутрикеа					
0442	L-Аргинин TSN, капсулы, 60 шт	671	35	5		
0421	Nutricare Пау Д'Арко, капсулы, 60 шт	629	35	5		
0401	Акулий хрящ, капсулы, 60 шт	729	40	5		
0435	Антиоксидант, капсулы, 60 шт	603	35	5		
0405	Ацидофилус Экстра, капсулы, 60 шт	633	35	5		
0406	ВАГ, капсулы, 60 шт	603	35	5		
0408	Гинкго Билоба Плас, таблетки, 60 шт	603	35	5		
0409	Глюкозамин-Плас, таблетки, 60 шт	747	40	5		
0443	Гортензия TSN, капсулы, 60 шт	615	35	5		
0410	Готу Кола, капсулы, 60 шт	603	35	5		
0411	Донг Куэй, таблетки, 60 шт	603	35	5		
0437	Йохимбе, таблетки, 60 шт	621	35	5		
0413	Каль-Ди-Маг, таблетки, 60 шт	653	35	5		
0444	Кофермент Q10 TSN, капсулы 60 шт	621	35	5		
0438	Коэнзим Q10 Нутрикеа, таблетки, 60 шт	621	35	5		
0427	Красный клевер ТSN, капсулы, 60 шт	541	30	5		
0416	Ливер-Плас, капсулы, 60 шт	615	35	5		
0445	Люцерна TSN, капсулы, 60 шт	528	30	5		
0417	Малти-Комплекс, таблетки, 60 шт	627	35	5		
0446	Молозиво TSN, капсулы, 60 шт	629	35	5		
0439	Омега Ойл, капсулы, 60 шт	639	35	5		
0419	Остео Каль с Глюкозамином, капсулы, 60 шт	653	35	5		
0420	Пара-Уолнат-Плас, капсулы, 60 шт	641	35	5		
0425	Проста-Вита, капсулы, 60 шт	609	35	5		
0426	Пэшн Флауэр, таблетки, 60 шт	559	30	5		
0441	Спирулина TSN, капсулы, 60 шт	641	35	5		
0429	Супер Колон Клинз, капсулы, 60 шт	546	30	5		
0430	Суперлакс, капсулы, 60 шт	522	30	5		
0431	Тиро-Вита, капсулы, 60 шт	528	30	5		
0432	Уна Дэ Гато, таблетки, 60 шт	641	35	5		
0447	Фукоксан, капсулы, 60 шт	629	35	5		
0433	Эхинацея Нутрикеа, капсулы, 60 шт	629	35	5		
	Пенталис					
1316	Аромамедальон	96	6	10		
1322	Аромаплитка массажная «Сладкие грезы», 70 г	210	13	10		
1317	Бальзам антицеллюлитный «Золотая лань», капсулы по 4,5 г, 5 шт	127	8	10		
1302	Бальзам для век «Драгоценная роса», капсулы, 12 шт	127	8	10		
1318	Бальзам для волос «Шелковая нить», капсулы по 4,5 г, 5 шт	127	8	10		
1304	Бальзам для лица и шеи «Ласковый ветер», капсулы, 12 шт	127	8	10		
1305	Бальзам для ногтей «Миндальный мотив», капсулы, 15 шт	127	8	10		
1339	Жемчужины для ванн «Антистресс», капсулы, 8 шт	162	10	4		
1340	Жемчужины для ванн «Наедине», капсулы, 8 шт	162	10	4		
1341	Жемчужины для ванн «Тонус», капсулы, 8 шт	162	10	4		
1342	Жемчужины для ванн «Целебные», капсулы, 8 шт	162	10	4		
1324	Масло эфирное «Апельсин», 5 мл	78	5	10		
1325	Масло эфирное «Иланг-Иланг», 5 мл	193	12	10		
1310	Масло эфирное «Лаванда», 5 мл	186	12	10		
1311	Масло эфирное «Лимон», 5 мл	83	5	10		
1312	Масло эфирное «Пачули», 5 мл	153	10	10		
1313	Масло эфирное «Чайное дерево», 5 мл 	126	8	10		
1314	Масло эфирное «Эвкалипт», 5 мл	81	5	10		
1337	Мыло натур. «Органик Лайв» с маслом ши и перуанским бальзамом, 80 г	160	10	4		
1319	Плитка душистая «Бархатный сезон», 90 г	205	13	10		
	Прицеро-П					
1914	Коврик массажный шунгитовый	639	40	10		
1920	Крем шунгитовый омолаживающий, 100 г	321	21	3		
1921	Крем шунгитовый против усталости и отечности ног, 100 г	321	21	5		
1919	Крем шунгитовый согревающий, 100 г	321	21	3		
1902	Накладка антиэлектромагнитная «Магралит-Т»	355	22	10		
1910	Накладка спинная шунгитовая	489	30	7		
1911	Наколенник шунгитовый	372	23	14		
1916	Оберег шунгитовый (малый)	148	10	25		
1917	Пирамидка шунгитовая	318	20	10		
1912	Пояс шунгитовый	255	16	20		
1905	Соль океаническая «Пихта», 700 г	124	8	14		
1913	Шунгит для минерализации воды	148	10	20		
	Руслана-ЕС					
2225	ЗВК «Реагент 3000» «Драйв», 2х50 мл	575	30	5		
2215	ЗВК «Реагент 3000» «Драйв-плюс», 3х50 мл	835	42	5		
2224	ЗВК «Реагент 3000» «Промывка масляной системы», 50 мл	272	15	5		
2223	ЗВК «Реагент 3000» «Промывка системы охлаждения», 50 мл	415	21	5		
2222	ЗВК «Реагент 3000» «Промывка топливной системы», 50 мл	334	18	5		
2212	ЗВК «Реагент 3000» «Супердрайв», 2х75 мл, 1х50 мл	1249	63	5		
2213	ЗВК «Реагент 3000» для АКПП, 2х50 мл	680	36	5		
2219	ЗВК «Реагент 3000» для двухтактного двигателя, 5 мл	63	3	10		
2220	ЗВК «Реагент 3000» для топливной системы на 1000 л топлива, 2х50 мл	1207	62	5		
2216	ЗВК «Реагент 3000» для топливной системы на 150 л топлива, 3 шприца	294	16	5		
2217	ЗВК «Реагент 3000» для топливной системы на 500 л топлива, 10 шприцев	891	47	3		
2218	ЗВК «Реагент 3000» для трансмиссии, 50 мл	334	18	5		
	Сибирь-Цео					
1626	Картридж для фильтра «Водолей» ПРЕМИУМ угольно-цеолитовый	589	30	3		
1628	Картридж для фильтра «Водолей» ПРЕМИУМ умягчающий	657	33	3		
1627	Картридж для фильтра «Водолей» ПРЕМИУМ шунгитовый	625	32	3		
1631	Картридж для фильтра под мойку «Водолей-БКП» обезжелезивающий	801	40	1		
1618	Картридж для фильтра под мойку «Водолей-БКП» полипропиленовый	221	9	1		
1619	Картридж для фильтра под мойку «Водолей-БКП» угольный	443	21	1		
1620	Картридж для фильтра под мойку «Водолей-БКП» умягчающий	535	25	1		
1621	Картридж для фильтра под мойку «Водолей-БКП» цеолитовый	467	22	1		
1622	Картридж для фильтра под мойку «Водолей-БКП» шунгитовый	578	28	1		
1612	Картридж для фильтра-кувшина «Водолей» угольно-цеолитовый	248	12	3		
1614	Картридж для фильтра-кувшина «Водолей» умягчающий	287	13	3		
1613	Картридж для фильтра-кувшина «Водолей» шунгитовый	264	12	3		
1607	Картридж для фильтров «АРГО-К» и «АРГО-МК» угольно-цеолитовый	551	25	3		
1616	Картридж для фильтров «АРГО-К» и «АРГО-МК» умягчающий	608	27	3		
1615	Картридж для фильтров «АРГО-К» и «АРГО-МК» шунгитовый	564	25	3		
1606	Комплект дополнительный фильтрующий (ДФК) «АРГО+»	390	20	1		
1608	Комплект запасной для фильтров «АРГО», «АРГО-М»	307	15	8		
1624	Комплект картриджей для фильтра высокопроизводит. «Водолей-БКП»	4650	125	1		
1630	Кувшин для воды «Водолей»	368	10	1		
1629	Минерализатор воды природный «Кремень», 60 г	115	7	1		
1601	Фильтр «АРГО»	949	50	6		
1602	Фильтр «АРГО-К»	982	50	6		
1604	Фильтр «АРГО-МК»	1048	55	6		
1625	Фильтр «Водолей» ПРЕМИУМ	1284	60	8		
1623	Фильтр высокопроизводительный «Водолей-БКП»	18140	500	1		
1617	Фильтр под мойку «Водолей-БКП»	4531	170	1		
1611	Фильтр-кувшин «Водолей»	815	37	6		
1605	Фильтр-насадка «АРГО-Душ»	822	44	1		
1609	Элемент фильтрующий для ДФК «АРГО+»	227	11	1		
1610	Элемент фильтрующий для фильтра-насадки «АРГО-Душ»	487	23	1		
	ФитоЛайн					
	Здоровое питание					
2321	Альгинат кальция, капсулы, 80 шт	490	30	5		
2305	Лесмин, таблетки, 80 шт	490	30	5		
2327	Провитам, таблетки, 80 шт	564	35	5		
2307	Сироп с хлорофиллом «Фитолон», 100 мл	320	20	3		
2304	Фитолон-Кламин, таблетки, 80 шт	490	30	5		
	Здоровье и быт					
2324	Средство дезинфицирующее «БИОПАГ-Д», 1 л	1336	85	1		
	Наружные средства					
2325	Гель для гидратации кожи, 100 мл	291	18	5		
2312	Крем антицеллюл. моделирующий с экстр. царского дерева и периллы, 150 мл	292	18	4		
2308	Крем-депилятор «Альфион», 100 мл	257	16	3		
2313	Лифтинг-маска с экстрактом царского дерева для лица, 10 мл	155	10	6		
2326	Маска для тонкой и чувствительной кожи, 100 мл	410	25	5		
2318	Мыло туалетное глицериновое «Фитолон», 70 г	310	19	3		
2322	Освежитель полости рта с экстрактом семян периллы, 50 мл	160	10	5		
2301	Паста зубная «Аргодент Море», 75 мл	129	8	18		
2323	Паста зубная «Аргодент с экстрактом периллы», 75 мл	129	8	18		
2302	Паста зубная «Аргодент Хвоя», 75 мл	129	8	18		
2303	Паста зубная «Бебидент вкусняшка», 75 мл	129	8	18		
2311	Пилинг-гель для тела с люффой, экстр. царск. дер. и маслом «Каротино», 150 мл	248	16	4		
2310	Спрей с экстрактом царского дерева для укладки волос, 150 мл	254	16	4		
2317	Сыворотка с экстр. царского дерева для укреп. и восстан. волос, 100 мл	288	18	5		
	Фруктовый бар					
4101	Батончик фруктовый  "Тропик" с ананасом, 40 г	34	1	20		
4102	Батончик фруктовый "Цитрус" с апельсином, 40 г	34	1	20		
4103	Батончик фруктовый "Ягодка" с черникой, 40 г	34	1	20		
	ЭД Медицин					
	Здоровое питание					
0815	АнгиОмега Комплекс, коллоидная фитоформула, 237 мл	1607	85	6		
0801	Анти-Оксидант, коллоидная фитоформула, 237 мл	1607	85	6		
0807	Артро Комплекс, коллоидная фитоформула, 237 мл	1607	85	6		
0818	БиоКлинзинг, коллоидная фитоформула, 237 мл	1607	85	6		
0808	Брейн Бустер, коллоидная фитоформула, 237 мл	1607	85	6		
0810	Бьюти Нэчурал, коллоидная фитоформула, 237 мл	1607	85	6		
0813	Визио Комплекс, коллоидная фитоформула, 237 мл	1607	85	6		
0819	Гастеро Комплекс, коллоидная фитоформула, 237 мл	1607	85	6		
0811	Детокс, коллоидная фитоформула, 237 мл	1607	85	6		
0802	Имьюн Саппорт, коллоидная фитоформула, 237 мл	1607	85	6		
0803	Кардио Саппорт, коллоидная фитоформула, 237 мл	1607	85	6		
0820	Лайф Малти-Фактор, коллоидная фитоформула, 237 мл	1607	85	6		
0804	Мейл Эктив Комплекс, коллоидная фитоформула, 237 мл	1607	85	6		
0812	Ментал Комфорт, коллоидная фитоформула, 237 мл	1607	85	6		
0821	Нефрин Комплекс, коллоидная фитоформула, 237 мл	1607	85	6		
0809	Остео Комплекс, коллоидная фитоформула, 237 мл	1607	85	6		
0822	Реотон Комплекс, коллоидная фитоформула, 237 мл	1607	85	6		
0817	Слип Контрол, коллоидная фитоформула, 237 мл	1607	85	6		
0816	Тирео Саппорт, коллоидная фитоформула, 237 мл	1607	85	6		
0805	Фимейл Эктив Комплекс, коллоидная фитоформула, 237 мл	1607	85	6		
0814	Фо Кидз , коллоидная фитоформула, 237 мл	1607	85	6		
0806	Шугар Бэланс, коллоидная фитоформула, 237 мл	1607	85	6		
	Наружные средства					
0850	Крем для кожи вокруг глаз интенсивный, 30 мл	1710	100	6		
0851	Крем для лица ночной питательный, 50 мл 	1400	80	6		
0852	Крем для лица омолаживающий, 30 мл 	1565	90	6		
0858	Крем для лица очищающий, 120 мл 	1087	55	12		
0853	Крем дневной от морщин, 50 мл	1490	85	6		
0854	Крем-гель для женщин «Female Body Balance BIA-Gel», 56 мл	1607	85	6		
0855	Крем-гель ночной восстанавливающий «Night Active Renovation BIA-Gel», 56 мл	1607	85	6		
0856	Крем-гель омолаживющий «Active Longevity BIA-Gel», 56 мл	1607	85	6		
0857	Лифтинг-комплекс интенсивный, 30 мл 	1495	85	6		
0859	Тоник для лица освежающий, 120 мл 	853	45	12		
	ЭЛМЕТ-СПб					
3201	Плёнка «Полимедэл»	348	25	10		
	ЮГ					
0601	Бальзам «Альпийский аромат», 100 мл	192	12	6		
0602	Бальзам «Витаминный +», 100 мл	175	11	6		
0603	Бальзам «Казанова», 100 мл	190	12	6		
0626	Бальзам «Сибирячок» с семенами тыквы и листьями березы, 100 мл	175	11	6		
0627	Бальзам «Сибирячок» с фенхелем и укропом, 100 мл	177	11	6		
0604	Бальзам «Сибирячок», 100 мл	188	12	6		
0620	Гельмипаль, капсулы, 30 шт	223	14	6		
0618	Гепаль, капсулы, 30 шт	220	14	6		
0605	Драже «Арго-пан», 60 г	175	11	6		
0606	Драже «Кальцепан», 100 г	328	21	6		
0611	Драже «Пантошка», 80 г	170	11	6		
0607	Драже «Пантошка-A», 80 г	174	11	6		
0608	Драже «Пантошка-Ca», 80 г	181	11	6		
0609	Драже «Пантошка-Fe», 80 г	172	11	6		
0610	Драже «Пантошка-Йод», 80 г	176	11	6		
0621	Драже обогащенное «Ледипан», 60 г	224	14	6		
0622	Драже обогащенное профилактическое «Лонопан», 115 г	403	25	6		
0623	Драже с калиной «Помогуша», 80 г	157	10	6		
0624	Драже с облепихой «Помогуша», 80 г	157	10	6		
0625	Драже с прополисом «Помогуша», 80 г	157	10	6		
0612	Конфеты обогащенные пробиотические «Бифидопан», 70 г	241	15	6		
0613	Конфеты обогащенные пробиотические «Лактопан», 70 г	236	15	6		
0615	Конфеты обогащенные пробиотические «Пробиопан», 60 г	254	16	6		
0616	Ферропан, капсулы, 20 шт	174	11	6		
0619	Холепаль, капсулы, 30 шт	340	21	6		
0617	Эргопан, капсулы, 30 шт	209	13	6		
